grid_id,latitude,longitude
6_31,53.328969,-6.377998
6_32,53.329867,-6.377943
6_33,53.330765,-6.377888
6_34,53.331663,-6.377833
6_35,53.332561,-6.377778
6_36,53.333458,-6.377722
6_37,53.334356,-6.377667
6_38,53.335254,-6.377612
6_39,53.336152,-6.377557
6_40,53.33705,-6.377502
6_41,53.337948,-6.377447
6_42,53.338846,-6.377392
6_43,53.339744,-6.377337
6_44,53.340642,-6.377281
6_45,53.34154,-6.377226
6_46,53.342438,-6.377171
6_47,53.343336,-6.377116
6_48,53.344234,-6.377061
6_49,53.345132,-6.377006
6_50,53.34603,-6.376951
6_51,53.346928,-6.376895
6_52,53.347826,-6.37684
6_53,53.348724,-6.376785
6_54,53.349622,-6.37673
6_55,53.35052,-6.376675
6_56,53.351417,-6.37662
6_57,53.352315,-6.376564
6_58,53.353213,-6.376509
6_59,53.354111,-6.376454
6_60,53.355009,-6.376399
6_61,53.355907,-6.376344
6_62,53.356805,-6.376289
6_63,53.357703,-6.376233
6_64,53.358601,-6.376178
6_65,53.359499,-6.376123
6_66,53.360397,-6.376068
6_67,53.361295,-6.376013
6_68,53.362193,-6.375957
6_69,53.363091,-6.375902
6_70,53.363989,-6.375847
6_71,53.364887,-6.375792
6_72,53.365785,-6.375737
6_73,53.366683,-6.375681
6_74,53.36758,-6.375626
6_75,53.368478,-6.375571
6_76,53.369376,-6.375516
6_77,53.370274,-6.37546
6_78,53.371172,-6.375405
6_79,53.37207,-6.37535
6_80,53.372968,-6.375295
6_81,53.373866,-6.37524
6_82,53.374764,-6.375184
6_83,53.375662,-6.375129
6_84,53.37656,-6.375074
6_85,53.377458,-6.375019
6_86,53.378356,-6.374963
6_87,53.379254,-6.374908
6_88,53.380152,-6.374853
6_89,53.38105,-6.374797
6_90,53.381948,-6.374742
6_91,53.382845,-6.374687
6_92,53.383743,-6.374632
6_93,53.384641,-6.374576
6_94,53.385539,-6.374521
6_95,53.386437,-6.374466
6_96,53.387335,-6.374411
6_97,53.388233,-6.374355
6_98,53.389131,-6.3743
6_99,53.390029,-6.374245
6_100,53.390927,-6.374189
6_101,53.391825,-6.374134
6_102,53.392723,-6.374079
6_103,53.393621,-6.374023
6_104,53.394519,-6.373968
6_105,53.395417,-6.373913
6_106,53.396315,-6.373858
6_107,53.397213,-6.373802
6_108,53.39811,-6.373747
6_109,53.399008,-6.373692
6_110,53.399906,-6.373636
6_111,53.400804,-6.373581
6_112,53.401702,-6.373526
6_113,53.4026,-6.37347
6_114,53.403498,-6.373415
6_115,53.404396,-6.37336
